,name,scores_summed
64,Rep. Henry Cuellar,-0.7634631286471975
68,Rep. Monica De La Cruz,-0.7836729853596289
229,Senator Thom Tillis,-0.8199251178516398
207,Senator Jeff Merkley,-0.8217679275599507
247,Rep. Lou Correa,-0.8263004910913878
203,Mike Lee,-0.8646045724482837
298,Congressman John Rose,-0.8739634261206689
277,Blaine Luetkemeyer,-0.9135477859947716
70,Rep. Suzan DelBene,-0.9275410002667028
341,Rep. Scott Peters,-0.9334872955842214
356,Rep. Gerry Connolly,-0.9545706302806634
279,Michael McCaul,-1.0087253412563184
74,Rep. Anna G. Eshoo,-1.0561317523480032
7,Rep. Doug Lamborn,-1.0861417004333582
80,Rep. Matt Gaetz,-1.10568129700871
295,Congresswoman Ayanna Pressley,-1.1136257554332272
372,Bennie G. Thompson,-1.1346672692404947
365,Congressman Russell Fry,-1.1525487944144135
26,Rodney Davis,-1.167491751438916
137,Rep. Stacey Plaskett,-1.1764208230290558
178,Senator Mike Braun,-1.1887040807053915
79,Congressman Maxwell Alejandro Frost,-1.226129161680124
138,Rep. Katie Porter,-1.2310207274573968
273,Rep. Rick Larsen,-1.2406063236781166
406,Congressman Nick Langworthy,-1.2739802618728788
127,Rep. Gwen Moore,-1.3020793032545266
413,Rep. Roger Williams,-1.3221810888407037
288,Congressman Donald Norcross \ud83c\uddfa\ud83c\uddf8\ud83c\uddfa\ud83c\udde6,-1.3748613256826363
315,US Rep. Mike Turner,-1.4012157190471868
61,Rep. Dan Crenshaw,-1.4103488072451165
220,Chuck Schumer,-1.4157407928893255
46,Rep. Vern Buchanan,-1.5328613803717221
121,Patrick McHenry,-1.561786786236628
226,Sen. Debbie Stabenow,-1.5633176691694683
94,Steny Hoyer,-1.5731574342428682
11,Sen. John Barrasso,-1.620146651401827
9,Rep. Jay Obernolte,-1.7161930204227889
113,Congresswoman Summer Lee,-1.7632974401578296
366,Rep. John Sarbanes,-1.8342993825361238
192,Josh Hawley,-1.8857782232637925
180,Sen. Susan Collins,-1.9073886288925994
289,Rep. Ralph Norman,-1.9248577937811304
238,Congressman Kelly Armstrong,-1.9341076503006658
186,Tammy Duckworth,-1.9540854331084996
158,Rep. Adrian Smith,-1.9654382424982013
242,Rep. Brendan Boyle,-1.967110516632203
4,Congressman Dwight Evans,-1.977986748137262
55,Joaquin Castro,-1.978009099600155
309,Congressman Greg Steube,-2.0241351208994667
384,Rep. Russ Fulcher,-2.0433110300406008
58,Steve Cohen,-2.069946222346247
420,Ann Wagner,-2.085460013537321
230,Senator Pat Toomey,-2.1022925792239375
140,Mike Quigley,-2.106277318537146
49,Rep. Eric Burlison,-2.1144500592867868
219,Bernie Sanders,-2.1933932614358795
111,Rep. John Larson,-2.27240460430457
76,Congressman Bill Foster,-2.3149831506697387
333,Gus Bilirakis,-2.3566984935530684
303,Rep. Austin Scott,-2.3643349688371504
284,Congressman Nathaniel Moran,-2.3760242118671036
290,Rep. Ilhan Omar,-2.4112886675212515
81,Rep. Gallagher Press Office,-2.4267959369394037
235,Senator Todd Young,-2.442173988896683
188,Senator Deb Fischer,-2.444448884219148
283,Rep. Cory Mills,-2.4686030601523585
197,Sen. Jim Inhofe,-2.4780605751701237
149,Adam Schiff,-2.5397674510003103
261,"Rep. Andy Harris, MD",-2.594999094470146
386,Rep. Bonnie Watson Coleman,-2.6339823751672538
419,Rep. Nadler,-2.643090205081282
206,Ed Markey,-2.659672572154146
187,Joni Ernst,-2.6615286054417933
396,Katherine Clark,-2.704676256274314
139,Bill Posey,-2.71209902633342
23,Rep. Eric Swalwell,-2.7255151270560303
166,Congresswoman Rashida Tlaib,-2.741631596443801
40,Congressman Jim Baird,-2.783289436994397
405,Judge Carter,-2.788962988954974
359,Congressman Chuy Garc\u00eda,-2.7904016085317322
50,Ken Calvert,-2.805273686441386
307,Rep. Elise Stefanik,-2.828533831802651
154,Pete Sessions,-2.839743599870401
280,Tom McClintock,-2.888562992634771
161,Pete Stauber,-2.912812515841105
105,Rep. Ro Khanna,-2.9131583438172126
44,Earl Blumenauer,-2.9163789402971574
128,Congressman Jared Moskowitz,-2.9258835714486615
383,Congressman William Timmons,-2.9361280097423914
318,Maxine Waters,-2.9951848040667883
306,Rep. Adam Smith,-3.0064690558615945
310,Mark Takano,-3.0146473511727323
136,RepScottPerry,-3.111528011886652
348,Rep. Clay Higgins,-3.121970977685799
119,Kevin McCarthy,-3.136988134284929
409,Thomas Massie,-3.153509832721689
394,Rep. Alex Mooney,-3.197623210668594
252,Mario Diaz-Balart,-3.1996711225982035
42,Rep. Andy Barr,-3.209034523600743
82,John Garamendi,-3.2194803803439345
237,Robert Aderholt,-3.2244839738470654
332,Senator Roger Wicker,-3.27537699937221
388,Raul M. Grijalva,-3.284802691312115
45,Congressman Josh Brecheen,-3.3004386112590667
259,Rep. Mark Green,-3.3038732857835766
265,Rep. Pramila Jayapal,-3.3076467464261468
402,Rep. Scott Fitzgerald,-3.377937869490825
248,Rep. Eli Crane,-3.434657946115941
246,Congressman Ben Cline,-3.445902776838058
241,Aaron Bean,-3.464201539986419
378,Rep. Anna Paulina Luna,-3.4760311015462633
391,Rep. Ron Estes,-3.525891132483164
152,Rep. David Schweikert,-3.5382800106969157
24,Yvette D. Clarke,-3.872114875373599
185,Senator Ted Cruz,-3.955411312445799
33,Steve Daines,-3.9770453655923226
308,Bryan Steil,-4.029634793708744
210,Jon Ossoff,-4.099276740418535
116,Rep. Barry Loudermilk,-4.165645718774869
13,John Kennedy,-4.233887598561704
6,Rep. Kevin Kiley,-4.254244024229844
338,Rep. Jack Bergman,-4.27570667805452
12,Senator Dianne Feinstein,-4.281401411897254
95,Rep. Darrell Issa,-4.295981380766161
41,Jim Banks,-4.301439927235631
253,Congressman Mike Ezell,-4.311468788067183
319,Randy Weber,-4.389638177827629
355,Rep. Don Beyer,-4.521205022759943
417,"U.S. Senator Bill Cassidy, M.D.",-4.524761321516679
47,Rep. Ken Buck,-4.537155609516153
100,Rep. Mike Johnson,-4.572070430023005
240,Congressman Troy Balderson,-4.604058627719056
262,Rep. Kevin Hern,-4.6167192088521585
215,Jim Risch,-4.716366019050149
234,Sheldon Whitehouse,-4.760731752029929
334,Rep. Andy Ogles,-4.771475110949422
393,Hakeem Jeffries,-4.790264669541974
233,Elizabeth Warren,-4.822065520635098
66,Warren Davidson,-4.842673611603535
404,Rep. Jim Jordan,-4.896523318320269
403,Congresswoman Debbie Lesko,-4.906568367424577
22,Rep. Jeff Duncan,-4.912020889458687
293,"Bill Pascrell, Jr. \ud83c\uddfa\ud83c\uddf8\ud83c\uddfa\ud83c\udde6",-5.014511409450379
86,"Rep. Paul Gosar, DDS",-5.094623838198724
305,Rep. Jason Smith,-5.188589625466582
146,Rep. Chip Roy Press Office,-5.191398569766445
109,Rep. Doug LaMalfa,-5.241288136177765
78,Virginia Foxx,-5.25324462702012
176,Sen. Marsha Blackburn,-5.3515691951718924
201,Sen. James Lankford,-5.465301025848194
260,Congressman Michael Guest,-5.780150012085094
18,Rep. Claudia Tenney,-6.294767595127342
142,Rep. Guy Reschenthaler,-6.432754350183595
57,Congressman Michael Cloud,-6.816300547101136
340,Brian Babin,-6.922710775977073
43,Rep Andy Biggs,-7.197268168646856
190,Lindsey Graham,-7.546523215073193
213,Rob Portman,-8.308681933820312
103,Congressman Bill Keating,-8.600948172544342
381,Joe Wilson,-9.810635289359483
369,Rep. Wesley Hunt Press Office,-9.847282543372366
182,Tom Cotton,-10.990238130619035
